t_rel target_x target_y target_z filtered_x filtered_y filtered_z raw_yaw filter_yaw center_x center_y center_r center_vx center_vy solve_ok time_cost dx_raw dy_raw dpos_raw dx_flt dy_flt dpos_flt dyaw mutation res_x res_y res_norm yaw_from_neg90 err_raw_x err_raw_y err_flt_x err_flt_y
1.116667 2.946700 -0.135567 0.195459 2.940500 -0.131616 0.176113 0.386286 0.482868 3.235000 0.022776 0.332511 0.041082 -0.005208 1 0.263760 -0.024840 0.014828 0.028929 -0.010620 0.014035 0.017600 -0.035602 0 -0.413574 0.149667 0.439822 1.957082 0.003981 -0.164107 -0.002219 -0.160156
1.133333 2.934000 -0.120788 0.195254 2.931410 -0.117078 0.180536 0.341572 0.422660 3.235390 0.019641 0.333308 0.040158 -0.011223 1 0.274597 -0.012700 0.014779 0.019486 -0.009090 0.014538 0.017146 -0.044714 0 -0.413038 0.173624 0.448046 1.912368 -0.008719 -0.149328 -0.011309 -0.145618
1.150000 2.942230 -0.106695 0.196328 2.924690 -0.102171 0.184270 0.288863 0.363133 3.236950 0.016484 0.334047 0.041001 -0.017217 1 0.278723 0.008230 0.014093 0.016320 -0.006720 0.014907 0.016352 -0.052709 0 -0.389877 0.197028 0.436835 1.859659 -0.000489 -0.135235 -0.018029 -0.130711
1.166667 2.894550 -0.090095 0.192907 2.917300 -0.087186 0.187129 0.261435 0.307526 3.236030 0.014042 0.334415 0.038440 -0.021684 1 0.239105 -0.047680 0.016600 0.050487 -0.007390 0.014985 0.016708 -0.027428 0 -0.427915 0.218915 0.480661 1.832231 -0.048169 -0.118635 -0.025419 -0.115726
1.183333 2.905370 -0.075134 0.193579 2.912250 -0.072077 0.189465 0.222084 0.253888 3.236160 0.011973 0.334636 0.037547 -0.025335 1 0.298258 0.010820 0.014960 0.018463 -0.005050 0.015109 0.015930 -0.039351 0 -0.404498 0.239310 0.469987 1.792880 -0.037349 -0.103675 -0.030469 -0.100617
1.200000 2.906690 -0.059125 0.194282 2.908240 -0.056138 0.191450 0.134354 0.195557 3.236820 0.008948 0.334955 0.037413 -0.030684 1 0.269662 0.001320 0.016010 0.016064 -0.004010 0.015939 0.016436 -0.087730 0 -0.374997 0.263864 0.458527 1.705150 -0.036029 -0.087665 -0.034479 -0.084678
1.216667 2.902130 -0.043664 0.194297 2.905390 -0.040160 0.193096 0.077860 0.137213 3.237380 0.005682 0.335144 0.037233 -0.036436 1 0.280985 -0.004560 0.015461 0.016120 -0.002850 0.015979 0.016231 -0.056494 0 -0.361318 0.284783 0.460056 1.648656 -0.040589 -0.072204 -0.037329 -0.068700
1.233333 2.874060 -0.028129 0.193033 2.902410 -0.025089 0.194465 0.089565 0.087901 3.236070 0.004316 0.334954 0.034604 -0.038346 1 0.269092 -0.028070 0.015535 0.032082 -0.002980 0.015070 0.015362 0.011706 0 -0.391970 0.301167 0.494310 1.660362 -0.068659 -0.056669 -0.040309 -0.053630
1.250000 2.859830 -0.011617 0.192068 2.899490 -0.009422 0.195484 0.019401 0.035784 3.234110 0.002558 0.334832 0.031144 -0.040803 1 0.274770 -0.014230 0.016512 0.021798 -0.002920 0.015668 0.015937 -0.070164 0 -0.380776 0.320595 0.497766 1.590198 -0.082889 -0.040157 -0.043229 -0.037962
1.266667 2.884050 0.004645 0.194626 2.898840 0.005466 0.196561 0.046873 -0.005892 3.233490 0.003494 0.334656 0.029667 -0.037800 1 0.269319 0.024220 0.016262 0.029173 -0.000650 0.014888 0.014902 0.027472 0 -0.365121 0.335439 0.495815 1.617670 -0.058669 -0.023895 -0.043879 -0.023074
1.283333 2.861070 0.019683 0.193894 2.897420 0.020700 0.197482 -0.020277 -0.050691 3.231540 0.003749 0.334546 0.026373 -0.036194 1 0.238244 -0.022980 0.015038 0.027463 -0.001420 0.015234 0.015300 -0.067150 0 -0.363687 0.350412 0.505031 1.550520 -0.081649 -0.008857 -0.045299 -0.007840
1.300000 2.872180 0.035741 0.194768 2.896950 0.035439 0.198259 -0.006643 -0.087627 3.230250 0.006159 0.334578 0.024026 -0.030329 1 0.268124 0.011110 0.016057 0.019526 -0.000470 0.014739 0.014746 0.013634 0 -0.355848 0.364153 0.509151 1.564154 -0.070539 0.007200 -0.045769 0.006899
1.316667 2.859010 0.051209 0.194455 2.896370 0.050830 0.198925 -0.088982 -0.130209 3.228220 0.007375 0.334680 0.020686 -0.026892 1 0.232586 -0.013170 0.015469 0.020316 -0.000580 0.015391 0.015402 -0.082339 0 -0.339469 0.377191 0.507456 1.481814 -0.083709 0.022669 -0.046349 0.022290
1.333333 2.882010 0.067406 0.196698 2.897270 0.065795 0.199649 -0.085980 -0.166566 3.227610 0.010258 0.334975 0.019289 -0.020284 1 0.263840 0.023000 0.016197 0.028131 0.000900 0.014965 0.014992 0.003002 0 -0.316834 0.390886 0.503166 1.484816 -0.060709 0.038866 -0.045449 0.037255
